"Benchmark","ideal"
"sf_274","396"
"ex1_226","5"
"misex1_241","2391"
"4gt12-v1_89","116"
"C17_204","229"
"3_17_13","21"
"rd53_138",
"ham15_107","4335"
"4gt5_76","52"
"sym9_193",
"cnt3-5_180","194"
"4gt4-v0_73","208"
"decod24-v1_41","45"
"4mod7-v0_94","86"
"rd32-v0_66",
"alu-v0_26","45"
"sys6-v0_111",
"qe_qft_5",
"qiskit-alu-v0_26",
"ising_model_10","20"
"cm42a_207","842"
"4gt4-v0_80","93"
"alu-v2_31","228"
"4mod5-v0_18","39"
"urf1_149",
"radd_250","1604"
"one-two-three-v3_101","37"
"rd53_251",
"mini_alu_305","67"
"one-two-three-v0_98","77"
"dist_223",
"ising_model_16","20"
"4_49_16","117"
"sym10_262",
"clip_206",
"ex2_227","319"
"4gt4-v0_78","127"
"sao2_257",
"urf2_277",
"ising_model_13","20"
"alu-bdd_288","45"
"decod24-v0_38","29"
"4gt12-v0_86","126"
"sym9_146",
"alu-v4_37","20"
"9symml_195",
"one-two-three-v0_97","152"
"mlp4_245","9224"
"4gt11_84","10"
"xor5_254",
"mod10_176","92"
"f2_232","597"
"one-two-three-v2_100","37"
"decod24-v3_45","75"
"4mod7-v1_96","85"
"4gt5_77","67"
"rd53_131",
"urf4_187",
"alu-v2_30","261"
"mod5adder_127","274"
"hwb4_49","127"
"mod5mils_65","20"
"4mod5-v1_24","19"
"4gt4-v0_79","122"
"mod5d2_64","31"
"rd53_130",
"qe_qft_4",
"cm85a_209","5672"
"rd73_140",
"hwb9_119",
"alu-v2_33","19"
"4gt10-v1_81","78"
"rd84_142","105"
"squar5_261",
"sqrt8_260",
"urf2_152",
"urf3_155",
"4gt13_90","62"
"ground_state_estimation_10",
"urf5_280",
"hwb7_59",
"one-two-three-v1_99","72"
"plus63mod8192_164",
"cm152a_212","613"
"root_255",
"inc_237","5230"
"decod24-enable_126","176"
"qft_20",
"sym6_145",
"urf1_278",
"4gt12-v0_87","122"
"graycode6_47","5"
"4gt4-v1_74","142"
"dc1_220","935"
"sym9_148",
"decod24-v2_43","28"
"4gt12-v0_88","101"
"4mod5-v1_23","38"
"aj-e11_165","81"
"qft_16","58"
"decod24-bdd_294","39"
"rd32-v1_68",
"urf3_279",
"hwb5_53","699"
"mod8-10_178","177"
"cnt3-5_179","55"
"ex3_229","207"
"4mod5-v1_22","12"
"rd53_133",
"alu-v3_35","20"
"alu-v1_28","20"
"4gt13_91","58"
"urf6_160",
"qft_10",
"ham3_102","13"
"4mod5-v0_20","11"
"hwb6_56","3387"
"pm1_249",
"4gt13-v1_93","35"
"adr4_197","1657"
"majority_239","308"
"alu-v4_36","61"
"cm82a_208","308"
"mod8-10_177","232"
"alu-v2_32","84"
"rd73_252",
"alu-v3_34","29"
"4mod5-bdd_287","39"
"rd32_270",
"con1_216","458"
"cycle10_2_110","3028"
"4gt13_92","34"
"mod5d1_63","13"
"mini-alu_167","147"
"alu-v1_29","19"
"ex-1_166","11"
"dc2_222","4682"
"rd53_135",
"qiskit-3_17_13",
"sym6_316",
"plus63mod4096_163",
"mod10_171","127"
"4gt4-v0_72","125"
"miller_11","29"
"life_238",
"hwb8_113",
"sqn_258",
"urf5_158",
"alu-v0_27","19"
"wim_266",
"square_root_7",
"4gt11_83","16"
"co14_215","7663"
"max46_240",
"z4_268",
"ham7_104","172"
"sf_276","397"
"rd84_253",
"rd53_311",
"0410184_169","92"
"4mod5-v0_19","20"
